0, 0, 0, 0, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 3.94, 2.55, 
17, 0, 0, 0, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 3.94, 2.79, 
34, 0, 0, 0, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 3.94, 2.85, 
51, 0, 0, 0, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 3.94, 2.88, 
68, 0, 0, 0, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 3.94, 2.90, 
85, 0, 0, 0, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 
102, 0, 0, 0, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 3.94, 2.91, 
119, 0, 0, 0, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 3.94, 2.92, 
136, 0, 0, 0, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 3.94, 2.93, 
153, 0, 0, 0, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 
170, 0, 0, 0, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 
187, 0, 0, 0, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 
204, 0, 0, 0, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 
221, 0, 0, 0, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 3.94, 2.94, 
238, 0, 0, 0, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 3.94, 2.95, 
