RepRap Ltd Optical HAlf-Neuron Starting
0, 0, 0, 0, 5.00, 4.38, 4.27, 3.62, 4.52, 3.89, 3.77, 3.12, 4.46, 3.82, 3.71, 3.05, 3.97, 3.33, 3.21, 2.55, 
0, 0, 0, 0, 5.00, 4.38, 4.27, 3.63, 4.53, 3.89, 3.77, 3.12, 4.46, 3.82, 3.71, 3.06, 3.98, 3.33, 3.21, 2.55, 
17, 0, 0, 0, 5.00, 4.62, 4.27, 3.87, 4.53, 4.13, 3.77, 3.37, 4.46, 4.06, 3.71, 3.30, 3.98, 3.57, 3.21, 2.80, 
34, 0, 0, 0, 5.00, 4.68, 4.27, 3.94, 4.53, 4.19, 3.77, 3.43, 4.46, 4.13, 3.71, 3.36, 3.98, 3.64, 3.21, 2.87, 
51, 0, 0, 0, 5.00, 4.71, 4.27, 3.96, 4.53, 4.22, 3.77, 3.46, 4.46, 4.16, 3.71, 3.40, 3.98, 3.67, 3.21, 2.90, 
68, 0, 0, 0, 5.00, 4.73, 4.27, 3.98, 4.53, 4.24, 3.77, 3.48, 4.46, 4.18, 3.71, 3.41, 3.98, 3.69, 3.21, 2.92, 
85, 0, 0, 0, 5.00, 4.74, 4.27, 3.99, 4.53, 4.25, 3.77, 3.49, 4.46, 4.19, 3.71, 3.43, 3.98, 3.70, 3.21, 2.93, 
102, 0, 0, 0, 5.00, 4.74, 4.27, 4.00, 4.53, 4.26, 3.77, 3.51, 4.46, 4.20, 3.71, 3.44, 3.98, 3.71, 3.21, 2.94, 
119, 0, 0, 0, 5.00, 4.75, 4.27, 4.01, 4.53, 4.27, 3.77, 3.51, 4.46, 4.20, 3.71, 3.44, 3.98, 3.72, 3.21, 2.95, 
136, 0, 0, 0, 5.00, 4.76, 4.27, 4.01, 4.52, 4.27, 3.77, 3.52, 4.46, 4.21, 3.71, 3.45, 3.98, 3.72, 3.21, 2.95, 
153, 0, 0, 0, 5.00, 4.77, 4.27, 4.02, 4.53, 4.28, 3.77, 3.52, 4.46, 4.21, 3.71, 3.45, 3.98, 3.72, 3.21, 2.96, 
170, 0, 0, 0, 5.00, 4.77, 4.27, 4.02, 4.53, 4.28, 3.77, 3.52, 4.46, 4.21, 3.71, 3.46, 3.97, 3.73, 3.21, 2.95, 
187, 0, 0, 0, 5.00, 4.77, 4.27, 4.03, 4.53, 4.28, 3.77, 3.53, 4.46, 4.21, 3.71, 3.46, 3.98, 3.73, 3.21, 2.96, 
204, 0, 0, 0, 5.00, 4.77, 4.27, 4.03, 4.53, 4.28, 3.77, 3.53, 4.46, 4.22, 3.71, 3.46, 3.98, 3.73, 3.21, 2.96, 
